No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
498	＋α	相続税 無税 申告	53	40	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
499	＋α	相続税 息子	50	40	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
500	＋α	相続税 昔	33	30	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
501	＋α	相続税 無料相談 税務署	33	30	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
502	＋α	相続税 無申告 時効	31	70	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
503	＋α	相続税 免除	50	320	記事	Know（相続税の控除・軽減を知りたい）	控除・特例	解説	解説記事	控除・特例	相続税_控除・特例		権威構築	補足
504	＋α	相続税 目安	57	110	記事	Know（相続税の金額・相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	相続税_相場ガイド		権威構築	補足
505	＋α	相続税 姪	32	110	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
506	＋α	相続税 免除額	55	140	記事	Know（相続税の控除・軽減を知りたい）	控除・特例	解説	解説記事	控除・特例	相続税_控除・特例		権威構築	補足
507	＋α	相続税 名義預金	39	260	記事	Know（預金の相続税を知りたい）	相続・贈与	解説	解説記事	預金	相続税_預金		権威構築	補足
508	＋α	相続税 免税	58	70	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
509	＋α	相続税 免税額	48	30	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
510	＋α	相続税 名義変更	45	140	記事	Know（相続税の改正内容を知りたい）	法律・制度	解説	解説記事	法改正	相続税_法改正		権威構築	補足
511	＋α	相続税 免除 条件	47	40	記事	Know（相続税の控除・軽減を知りたい）	控除・特例	解説	解説記事	控除・特例	相続税_控除・特例		権威構築	補足
512	＋α	相続税 免税点	33	30	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
513	＋α	相続税 持ち戻し	33	170	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
514	＋α	相続税 目的	33	90	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
515	＋α	相続税 本	26	210	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
516	＋α	相続税 持ち家	31	110	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
517	＋α	相続税 持ち戻し 7年	31	40	記事	Know（期間別の相続税を知りたい）	時期・スケジュール	解説	ガイド記事	期間別	相続税_期間別		権威構築	補足
518	＋α	相続税 物	51	50	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
519	＋α	相続税 本 おすすめ	29	70	記事	Buy（相続税関連のサービスを選びたい）	比較・検討	比較・解説	比較記事	おすすめ・比較	相続税_おすすめ・比較		権威構築	補足
520	＋α	相続税 持ち戻しとは	30	10	記事	Know（相続税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	相続税基礎解説		権威構築	補足
521	＋α	相続税 問題	49	40	記事	Know（相続税の問題点を知りたい）	法律・制度	解説	解説記事	制度問題	相続税_制度問題		権威構築	補足
522	＋α	相続税 持ち家がある場合	49	30	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
523	＋α	相続税 家	47	5400	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
524	＋α	相続税 安くする方法	51	170	記事	Do（相続税の手続き・対策を知りたい）	手続き・対策	ハウツー	ハウツー記事	手続き・対策	相続税_手続き・対策		権威構築	補足
525	＋α	相続税 やり方	55	40	記事	Do（相続税の手続き・対策を知りたい）	手続き・対策	ハウツー	ハウツー記事	手続き・対策	相続税_手続き・対策		権威構築	補足
526	＋α	相続税 山林	32	140	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
527	＋α	相続税 やばい	33	30	記事	Know（相続税の滞納・困りごとを知りたい）	相続・贈与	解説	解説記事	滞納・困りごと	相続税_滞納・困りごと		権威構築	補足
528	＋α	相続税 安い国	29	20	記事	Know（相続税の金額を知りたい）	金額別	解説	ガイド記事	金額	相続税_金額		権威構築	補足
529	＋α	相続税 家賃収入	29	30	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
530	＋α	相続税 山	31	90	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
531	＋α	相続税 家 妻	50	10	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
532	＋α	相続税 やめろ	33	0	削除			解説		検索なし			対象外	不要
533	＋α	相続税 遺言書がある場合	31	170	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
534	＋α	相続税 融資	33	70	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
535	＋α	相続税 猶予	44	70	記事	Do（延納・分割について知りたい）	支払い方法	解説	ハウツー記事	延納・分割	相続税_延納・分割		権威構築	補足
536	＋α	相続税 有価証券	33	140	記事	Know（株式の相続税評価を知りたい）	相続・贈与	解説	解説記事	株式評価	相続税_株式評価		権威構築	補足
537	＋α	相続税 有価証券 評価	32	70	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
538	＋α	相続税 猶予期間	33	50	記事	Do（延納・分割について知りたい）	支払い方法	解説	ハウツー記事	延納・分割	相続税_延納・分割		権威構築	補足
539	＋α	相続税 郵便局	33	40	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
540	＋α	相続税 由来	N/A	20	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
541	＋α	相続税 優遇措置	33	40	記事	Know（相続税の控除・軽減を知りたい）	控除・特例	解説	解説記事	控除・特例	相続税_控除・特例		権威構築	補足
542	＋α	相続税 融資 銀行	33	20	記事	Know（預金の相続税を知りたい）	相続・贈与	解説	解説記事	預金	相続税_預金		権威構築	補足
543	＋α	相続税 養子縁組	33	260	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
544	＋α	相続税 養子	33	260	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
545	＋α	相続税 預金	44	390	記事	Know（預金の相続税を知りたい）	相続・贈与	解説	解説記事	預金	相続税_預金		権威構築	補足
546	＋α	相続税 預貯金	33	390	記事	Know（預金の相続税を知りたい）	相続・贈与	解説	解説記事	預金	相続税_預金		権威構築	補足
547	＋α	相続税 様式	60	50	記事	Do（書式・様式を確認したい）	書類・手続き	解説	ハウツー記事	書式	相続税_書式		権威構築	補足
548	＋α	相続税 養子 2割加算	31	110	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
549	＋α	相続税 ランキング 世界	24	20	記事	Buy（相続税関連のサービスを選びたい）	比較・検討	比較・解説	比較記事	おすすめ・比較	相続税_おすすめ・比較		権威構築	補足
550	＋α	相続税 ランキング	31	20	記事	Buy（相続税関連のサービスを選びたい）	比較・検討	比較・解説	比較記事	おすすめ・比較	相続税_おすすめ・比較		権威構築	補足
551	＋α	相続税 ライン	33	10	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
552	＋α	相続税 ランキング 日本	33	30	記事	Buy（相続税関連のサービスを選びたい）	比較・検討	比較・解説	比較記事	おすすめ・比較	相続税_おすすめ・比較		権威構築	補足
553	＋α	相続税 来年から変わる	33	10	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
554	＋α	相続税 理不尽	40	320	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
555	＋α	相続税 率	50	8100	記事	Know（相続税の概要を知りたい）	税金	解説	解説記事	基礎解説	相続税税率	相続税の税率一覧と計算方法	権威構築	必須	解説記事
556	＋α	相続税 理由	29	90	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
557	＋α	相続税 利用者識別番号	28	70	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
558	＋α	相続税 利率	55	90	記事	Know（相続税の概要を知りたい）	税金	解説	解説記事	基礎解説	相続税税率	相続税の税率一覧と計算方法	権威構築	必須	解説記事
559	＋α	相続税 領収書	49	40	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
560	＋α	相続税 利子税	33	40	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
561	＋α	相続税 リフォーム費用	26	30	記事	Do（相続税の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	相続税_書式		権威構築	補足
562	＋α	相続税 領収済通知書	32	20	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
563	＋α	相続税 離婚した子供	73	0	削除			解説		検索なし			対象外	不要
564	＋α	相続税 累進課税	33	320	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
565	＋α	相続税 累進課税 表	49	20	記事	Do（書式・様式を確認したい）	書類・手続き	解説	ハウツー記事	書式	相続税_書式		権威構築	補足
566	＋α	相続税 累進	33	30	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
567	＋α	相続税 ルール	33	20	記事	Know（相続税のルールを知りたい）	法律・制度	解説	解説記事	ルール・制度	相続税_ルール・制度		権威構築	補足
568	＋α	相続税 累進課税制度	33	50	記事	Know（相続税のルール・制度を知りたい）	法律・制度	解説	解説記事	ルール・制度	相続税_ルール・制度		権威構築	補足
569	＋α	相続税 類似業種比準価額	26	10	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
570	＋α	相続税 累進税率	31	20	記事	Know（税率・税額を知りたい）	税金	解説	ガイド記事	税率	相続税税率	相続税の税率一覧と計算方法	権威構築	必須	解説記事
571	＋α	相続税 累進課税 税率	33	10	記事	Know（税率・税額を知りたい）	税金	解説	ガイド記事	税率	相続税税率	相続税の税率一覧と計算方法	権威構築	必須	解説記事
572	＋α	相続税 歴史	27	140	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
573	＋α	相続税 連帯納付義務	27	170	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
574	＋α	相続税 暦年贈与	44	260	記事	Know（相続税対策を知りたい）	相続・贈与	解説	解説記事	節税対策	相続税と贈与税		権威構築	補足
575	＋α	相続税 例	57	50	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
576	＋α	相続税 暦年課税	33	50	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
577	＋α	相続税 連帯納付義務 拒否	28	40	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
578	＋α	相続税 暦年贈与加算	56	20	記事	Know（相続税対策を知りたい）	相続・贈与	解説	解説記事	節税対策	相続税と贈与税		権威構築	補足
579	＋α	相続税 連帯納付義務 国税庁	49	20	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
580	＋α	相続税 令和7年 改正	27	10	記事	Know（相続税の改正内容を知りたい）	法律・制度	解説	解説記事	法改正	相続税_法改正		権威構築	補足
581	＋α	相続税 令和7年	33	30	記事	Know（期間別の相続税を知りたい）	時期・スケジュール	解説	ガイド記事	期間別	相続税_期間別		権威構築	補足
582	＋α	相続税 路線価	43	6600	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
583	＋α	相続税 ローン	33	260	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
584	＋α	相続税 路線価 計算	31	210	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
585	＋α	相続税 路線価 計算方法	48	140	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
586	＋α	相続税 ローン 金利	33	50	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
587	＋α	相続税 路線価 令和7年	40	320	記事	Know（期間別の相続税を知りたい）	時期・スケジュール	解説	ガイド記事	期間別	相続税_期間別		権威構築	補足
588	＋α	相続税 割合	49	590	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
589	＋α	相続税 わかりやすく	33	720	記事	Know（相続税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	相続税基礎解説		権威構築	補足
590	＋α	相続税 分け方	33	40	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
591	＋α	相続税 割合 兄弟	49	50	記事	Know（親族間の相続税を知りたい）	相続・贈与	解説	解説記事	親族間	相続税_親族間		権威構築	補足
592	＋α	相続税 わかりやすい本	25	40	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
593	＋α	相続税 分からない	33	20	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
594	＋α	相続税 分かりやすく	33	720	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
595	＋α	相続税 割合 納税者	55	40	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
596	＋α	相続税 枠	33	10	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
597	＋α	相続税 割合 計算	54	30	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
598	＋α	相続税 を減らす方法	32	480	記事	Do（相続税の手続き・対策を知りたい）	手続き・対策	ハウツー	ハウツー記事	手続き・対策	相続税_手続き・対策		権威構築	補足
599	＋α	相続税 nhk受信料	27	0	削除			解説		検索なし			対象外	不要
600	＋α	相続税 nhk	27	10	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
601	＋α	相続税 意味 わから ん	46	590	記事	Know（相続税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	相続税基礎解説		権威構築	補足
602	＋α	相続税 意味 わから ん 知恵袋	N/A	30	削除			解説		QAサイト			対象外	不要
603	＋α	金 おり ん 相続税	30	170	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
604	＋α	純金 おり ん 相続税	N/A	70	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
605	＋α	npo法人 相続税	37	10	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
606	＋α	npo法人 遺贈 相続税	35	20	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
607	＋α	npo 相続税	26	0	削除			解説		検索なし			対象外	不要
608	＋α	スタディ ング 相続税 評判	40	0	削除			解説		検索なし			対象外	不要
609	＋α	相続税 外国人	27	880	記事	Know（海外の相続税を知りたい）	相続・贈与	解説	解説記事	海外	相続税_海外		権威構築	補足
610	＋α	相続税 外国	45	140	記事	Know（海外の相続税を知りたい）	相続・贈与	解説	解説記事	海外	相続税_海外		権威構築	補足
611	＋α	相続税 概算	57	140	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
612	＋α	相続税 外国税額控除	26	50	記事	Know（海外の相続税を知りたい）	控除・特例	解説	解説記事	海外	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
613	＋α	相続税 会社	33	320	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
614	＋α	相続税 額	50	590	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
615	＋α	相続税 会社名義	32	20	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
616	＋α	相続税 学費	33	90	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
617	＋α	相続税 がかからない金額	56	1600	記事	Know（相続税がかからないケースを知りたい）	具体例	解説	解説記事	非課税ケース	相続税_非課税ケース		権威構築	補足
618	＋α	相続税 外国籍	30	70	記事	Know（海外の相続税を知りたい）	相続・贈与	解説	解説記事	海外	相続税_海外		権威構築	補足
619	＋α	相続税 銀行預金	33	140	記事	Know（預金の相続税を知りたい）	相続・贈与	解説	解説記事	預金	相続税_預金		権威構築	補足
620	＋α	相続税 議員	29	70	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
621	＋α	相続税 逆算	54	40	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
622	＋α	相続税 行政書士	29	70	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
623	＋α	相続税 銀行から借りる	32	30	記事	Know（預金の相続税を知りたい）	相続・贈与	解説	解説記事	預金	相続税_預金		権威構築	補足
624	＋α	相続税 銀行	33	90	記事	Know（預金の相続税を知りたい）	相続・贈与	解説	解説記事	預金	相続税_預金		権威構築	補足
625	＋α	相続税 ギリギリ	22	50	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
626	＋α	相続税 銀行口座	47	70	記事	Know（預金の相続税を知りたい）	相続・贈与	解説	解説記事	預金	相続税_預金		権威構築	補足
627	＋α	相続税 銀行残高証明書	33	20	記事	Know（預金の相続税を知りたい）	相続・贈与	解説	解説記事	預金	相続税_預金		権威構築	補足
628	＋α	相続税 銀行振込	33	20	記事	Do（支払い方法を知りたい）	手続き・対策	ハウツー	ガイド記事	支払い方法	相続税_支払い方法		権威構築	補足
629	＋α	相続税 具体例	56	20	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
630	＋α	相続税 グラフ	33	20	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
631	＋α	相続税 具体的な計算	33	0	削除			解説		検索なし			対象外	不要
632	＋α	相続税 軍用地	23	10	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
633	＋α	相続税 具体的に	54	0	削除			解説		検索なし			対象外	不要
634	＋α	相続税 グレーゾーン	24	10	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
635	＋α	相続税 現金	28	880	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
636	＋α	相続税 現金 いくらまで無税	46	480	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
637	＋α	相続税 現金 ばれない	33	170	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
638	＋α	相続税 現金のみ	31	90	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
639	＋α	相続税 現金 税率	33	90	記事	Know（税率・税額を知りたい）	税金	解説	ガイド記事	税率	相続税税率	相続税の税率一覧と計算方法	権威構築	必須	解説記事
640	＋α	相続税 減税	56	110	記事	Know（相続税の控除・軽減を知りたい）	控除・特例	解説	解説記事	控除・特例	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
641	＋α	相続税 限度額	57	90	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
642	＋α	相続税 現金と不動産	30	50	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税不動産	相続税の相続時の計算・手続き	権威構築	必須	計算ツール
643	＋α	相続税 現物納付	33	30	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
644	＋α	相続税 現金 不動産	33	50	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税不動産	相続税の相続時の計算・手続き	権威構築	必須	計算ツール
645	＋α	相続税 50万	33	40	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
646	＋α	相続税 5400万円	56	20	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
647	＋α	相続税 ゴミ	27	30	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
648	＋α	相続税 残高証明書 不要	33	140	記事	Know（相続税がゼロ・不要のケースを知りたい）	控除・特例	解説	解説記事	非課税・ゼロ	相続税_非課税・ゼロ		権威構築	補足
649	＋α	相続税 残高証明書	33	90	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
650	＋α	相続税 財産評価	48	70	記事	Know（不動産の相続税評価を知りたい）	その他	解説	解説記事	不動産評価	相続税_不動産評価		権威構築	補足
651	＋α	相続税 財産	56	210	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
652	＋α	相続税 財産目録	31	40	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
653	＋α	相続税 雑種地	31	50	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
654	＋α	相続税 残高証明書 日付	29	20	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
655	＋α	相続税 残高証明書 必要	31	20	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
656	＋α	相続税 財産分与	29	70	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
657	＋α	相続税 残高証明書 経過利息	31	0	削除			解説		検索なし			対象外	不要
658	＋α	相続税 住宅	53	720	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
